term_str,n,p,char_len
looks,6,0.000750938673341677,5
'My,6,0.000750938673341677,3
talk,6,0.000750938673341677,4
lets,6,0.000750938673341677,4
no,6,0.000750938673341677,2
dance,6,0.000750938673341677,5
til,6,0.000750938673341677,3
about,6,0.000750938673341677,5
living,6,0.000750938673341677,6
life,6,0.000750938673341677,4
Santana,6,0.000750938673341677,7
bout,6,0.000750938673341677,4
movie,6,0.000750938673341677,5
fell,6,0.000750938673341677,4
East,6,0.000750938673341677,4
'Lets,6,0.000750938673341677,5
next,6,0.000750938673341677,4
from,6,0.000750938673341677,4
thing',6,0.000750938673341677,6
car,5,0.0006257822277847309,3
talkin',5,0.0006257822277847309,7
seen,5,0.0006257822277847309,4
star,5,0.0006257822277847309,4
cah,5,0.0006257822277847309,3
'Oh,5,0.0006257822277847309,3
Luther,5,0.0006257822277847309,6
Marvin,5,0.0006257822277847309,6
hands,5,0.0006257822277847309,5
Yo,5,0.0006257822277847309,2
B-B-B-Bennie,5,0.0006257822277847309,12
Shake,5,0.0006257822277847309,5
vex,5,0.0006257822277847309,3
too,5,0.0006257822277847309,3
Ooh,5,0.0006257822277847309,3
yes,5,0.0006257822277847309,3
goin',5,0.0006257822277847309,5
nobody,5,0.0006257822277847309,6
show,5,0.0006257822277847309,4
'Put,5,0.0006257822277847309,4
boy,5,0.0006257822277847309,3
morning,5,0.0006257822277847309,7
much,5,0.0006257822277847309,4
lose,5,0.0006257822277847309,4
go',5,0.0006257822277847309,3
told,5,0.0006257822277847309,4
keep,5,0.0006257822277847309,4
here,5,0.0006257822277847309,4
find,5,0.0006257822277847309,4
Miss,5,0.0006257822277847309,4
more,5,0.0006257822277847309,4
Earl,5,0.0006257822277847309,4
back,5,0.0006257822277847309,4
'Come,5,0.0006257822277847309,5
(Love),5,0.0006257822277847309,6
He,5,0.0006257822277847309,2
That,4,0.0005006257822277847,4
The,4,0.0005006257822277847,3
little,4,0.0005006257822277847,6
'Its,4,0.0005006257822277847,4
quick,4,0.0005006257822277847,5
baby',4,0.0005006257822277847,5
'(Look,4,0.0005006257822277847,6
that)',4,0.0005006257822277847,6
Yeah....Mmmmm....Yeah,4,0.0005006257822277847,21
Mmmmm....,4,0.0005006257822277847,9
Are,4,0.0005006257822277847,3
.....,4,0.0005006257822277847,5
kick,4,0.0005006257822277847,4
news,4,0.0005006257822277847,4
girls,4,0.0005006257822277847,5
how,4,0.0005006257822277847,3
haters,4,0.0005006257822277847,6
New,4,0.0005006257822277847,3
teasin,4,0.0005006257822277847,6
put,4,0.0005006257822277847,3
gon',4,0.0005006257822277847,4
we're,4,0.0005006257822277847,5
really,4,0.0005006257822277847,6
still,4,0.0005006257822277847,5
While,4,0.0005006257822277847,5
new,4,0.0005006257822277847,3
'All,4,0.0005006257822277847,4
would,4,0.0005006257822277847,5
'Like,4,0.0005006257822277847,5
Its,4,0.0005006257822277847,3
'The,4,0.0005006257822277847,4
'Can,4,0.0005006257822277847,4
spend,4,0.0005006257822277847,5
flex,4,0.0005006257822277847,4
(uh)',4,0.0005006257822277847,5
World,4,0.0005006257822277847,5
bad,4,0.0005006257822277847,3
Ready,4,0.0005006257822277847,5
Gaye,4,0.0005006257822277847,4
Vandross,4,0.0005006257822277847,8
friend,4,0.0005006257822277847,6
Don't,4,0.0005006257822277847,5
duda,4,0.0005006257822277847,4
par,4,0.0005006257822277847,3
war,4,0.0005006257822277847,3
'See,4,0.0005006257822277847,4
deserve,4,0.0005006257822277847,7
people,4,0.0005006257822277847,6
nah,4,0.0005006257822277847,3
type,4,0.0005006257822277847,4
'Only,4,0.0005006257822277847,5
our,4,0.0005006257822277847,3
Streak,4,0.0005006257822277847,6
stay,4,0.0005006257822277847,4
big.',4,0.0005006257822277847,5
thick,4,0.0005006257822277847,5
it!)',4,0.0005006257822277847,5
oh,4,0.0005006257822277847,2
'(Shake,4,0.0005006257822277847,7
brothers,4,0.0005006257822277847,8
butts,4,0.0005006257822277847,5
Fonda,4,0.0005006257822277847,5
big,4,0.0005006257822277847,3
ugh,4,0.0005006257822277847,3
Honda,4,0.0005006257822277847,5
you've,4,0.0005006257822277847,6
'If,4,0.0005006257822277847,3
girlfriend,4,0.0005006257822277847,10
scoff,4,0.0005006257822277847,5
'Then,4,0.0005006257822277847,5
those,4,0.0005006257822277847,5
rap,4,0.0005006257822277847,3
'Take,4,0.0005006257822277847,5
believe,4,0.0005006257822277847,7
Cosmo,4,0.0005006257822277847,5
juicy,4,0.0005006257822277847,5
comes,4,0.0005006257822277847,5
I'll,4,0.0005006257822277847,4
I've,4,0.0005006257822277847,4
hey,4,0.0005006257822277847,3
average,4,0.0005006257822277847,7
'Some,4,0.0005006257822277847,5
won't,4,0.0005006257822277847,5
tried,4,0.0005006257822277847,5
or,4,0.0005006257822277847,2
'Well,4,0.0005006257822277847,5
side,4,0.0005006257822277847,4
use,4,0.0005006257822277847,3
music,3,0.0003754693366708385,5
Kana,3,0.0003754693366708385,4
makes,3,0.0003754693366708385,5
'Hey,3,0.0003754693366708385,4
Take,3,0.0003754693366708385,4
fine,3,0.0003754693366708385,4
yo,3,0.0003754693366708385,2
last,3,0.0003754693366708385,4
electric,3,0.0003754693366708385,8
even,3,0.0003754693366708385,4
better,3,0.0003754693366708385,6
See,3,0.0003754693366708385,3
'B-B-B-Bennie,3,0.0003754693366708385,13
mean,3,0.0003754693366708385,4
there's,3,0.0003754693366708385,7
'Bennie,3,0.0003754693366708385,7
ways,3,0.0003754693366708385,4
because,3,0.0003754693366708385,7
Santana',3,0.0003754693366708385,8
'Played,3,0.0003754693366708385,7
off',3,0.0003754693366708385,4
command,3,0.0003754693366708385,7
night,3,0.0003754693366708385,5
love',3,0.0003754693366708385,5
Played,3,0.0003754693366708385,6
L.A,3,0.0003754693366708385,3
Harlem,3,0.0003754693366708385,6
something,3,0.0003754693366708385,9
diamonds,3,0.0003754693366708385,8
Spanish,3,0.0003754693366708385,7
Growing,3,0.0003754693366708385,7
story,3,0.0003754693366708385,5
Side,3,0.0003754693366708385,4
West,3,0.0003754693366708385,4
remind,3,0.0003754693366708385,6
wet,3,0.0003754693366708385,3
'When,3,0.0003754693366708385,5
dont,3,0.0003754693366708385,4
If,3,0.0003754693366708385,2
deny,3,0.0003754693366708385,4
L.A',3,0.0003754693366708385,4
try,3,0.0003754693366708385,3
'From,3,0.0003754693366708385,5
time',3,0.0003754693366708385,5
cool,3,0.0003754693366708385,4
real,3,0.0003754693366708385,4
name,3,0.0003754693366708385,4
With,3,0.0003754693366708385,4
sweat,3,0.0003754693366708385,5
together,3,0.0003754693366708385,8
'cause,3,0.0003754693366708385,6
Me,3,0.0003754693366708385,2
back',3,0.0003754693366708385,5
did.',3,0.0003754693366708385,5
Now,3,0.0003754693366708385,3
touch,3,0.0003754693366708385,5
Riperton,3,0.0003754693366708385,8
middle,3,0.0003754693366708385,6
'It,3,0.0003754693366708385,3
already,3,0.0003754693366708385,7
home',3,0.0003754693366708385,5
Ethel,3,0.0003754693366708385,5
I's,3,0.0003754693366708385,3
slow,3,0.0003754693366708385,4
'They,3,0.0003754693366708385,5
'Yeah,3,0.0003754693366708385,5
nothin',3,0.0003754693366708385,7
'Man,3,0.0003754693366708385,4
move,3,0.0003754693366708385,4
miss,3,0.0003754693366708385,4
didn't,3,0.0003754693366708385,6
beans,3,0.0003754693366708385,5
Anita,3,0.0003754693366708385,5
Edition,3,0.0003754693366708385,7
enough,3,0.0003754693366708385,6
Tell,3,0.0003754693366708385,4
Minnie,3,0.0003754693366708385,6
'Do,3,0.0003754693366708385,3
'(Are,3,0.0003754693366708385,5
fakers,3,0.0003754693366708385,6
Heart-breakers,3,0.0003754693366708385,14
ooh,3,0.0003754693366708385,3
be?',3,0.0003754693366708385,4
star',3,0.0003754693366708385,5
He's,3,0.0003754693366708385,4
players,3,0.0003754693366708385,7
's,3,0.0003754693366708385,2
myself,3,0.0003754693366708385,6
'What,3,0.0003754693366708385,5
It's,3,0.0003754693366708385,4
'As,3,0.0003754693366708385,3
Donna',2,0.00025031289111389235,6
(let,2,0.00025031289111389235,4
anything,2,0.00025031289111389235,8
Donna,2,0.00025031289111389235,5
'Money,2,0.00025031289111389235,6
ignite,2,0.00025031289111389235,6
hunni',2,0.00025031289111389235,6
jah,2,0.00025031289111389235,3
groupie,2,0.00025031289111389235,7
born,2,0.00025031289111389235,4
'lets,2,0.00025031289111389235,5
gig,2,0.00025031289111389235,3
'Miss,2,0.00025031289111389235,5
dancin',2,0.00025031289111389235,7
hell,2,0.00025031289111389235,4
day,2,0.00025031289111389235,3
romancin',2,0.00025031289111389235,9
throwin',2,0.00025031289111389235,8
aint,2,0.00025031289111389235,4
morn',2,0.00025031289111389235,5
can',2,0.00025031289111389235,4
butt!',2,0.00025031289111389235,6
mind,2,0.00025031289111389235,4
free,2,0.00025031289111389235,4
Annabella,2,0.00025031289111389235,9
'Just,2,0.00025031289111389235,5
Got,2,0.00025031289111389235,3
ya)',2,0.00025031289111389235,4
flat,2,0.00025031289111389235,4
Coast)',2,0.00025031289111389235,7
'(Hell,2,0.00025031289111389235,6
butt?',2,0.00025031289111389235,6
tired,2,0.00025031289111389235,5
magazines,2,0.00025031289111389235,9
Sayin',2,0.00025031289111389235,6
refugee,2,0.00025031289111389235,7
'Has,2,0.00025031289111389235,4
yeah!)',2,0.00025031289111389235,7
'Fellas!',2,0.00025031289111389235,9
black,2,0.00025031289111389235,5
Just,2,0.00025031289111389235,4
better',2,0.00025031289111389235,7
'Thinking,2,0.00025031289111389235,9
pack,2,0.00025031289111389235,4
fellas!',2,0.00025031289111389235,8
sound,2,0.00025031289111389235,5
guitar,2,0.00025031289111389235,6
(b2k)',2,0.00025031289111389235,6
turbo,2,0.00025031289111389235,5
(bad,2,0.00025031289111389235,4
boy)',2,0.00025031289111389235,5
chris',2,0.00025031289111389235,6
healthy,2,0.00025031289111389235,7
one',2,0.00025031289111389235,4
it!',2,0.00025031289111389235,4
pandamonium,2,0.00025031289111389235,11
Side)',2,0.00025031289111389235,6
'There,2,0.00025031289111389235,6
looked,2,0.00025031289111389235,6
throwin,2,0.00025031289111389235,7
water,2,0.00025031289111389235,5
it!,2,0.00025031289111389235,3
Du,2,0.00025031289111389235,2
C'mon,2,0.00025031289111389235,5
'Vette,2,0.00025031289111389235,6
ask,2,0.00025031289111389235,3
role',2,0.00025031289111389235,5
Get,2,0.00025031289111389235,3
suit,2,0.00025031289111389235,4
god.',2,0.00025031289111389235,5
'Becky,2,0.00025031289111389235,6
butt.',2,0.00025031289111389235,6
action,2,0.00025031289111389235,6
ready,2,0.00025031289111389235,5
'Got,2,0.00025031289111389235,4
Jackson',2,0.00025031289111389235,8
Michael,2,0.00025031289111389235,7
skinned,2,0.00025031289111389235,7
light,2,0.00025031289111389235,5
always,2,0.00025031289111389235,6
fast,2,0.00025031289111389235,4
Kanye,2,0.00025031289111389235,5
guys',2,0.00025031289111389235,5
girlfriends.,2,0.00025031289111389235,12
dirty,2,0.00025031289111389235,5
think,2,0.00025031289111389235,5
guys?',2,0.00025031289111389235,6
They,2,0.00025031289111389235,4
total,2,0.00025031289111389235,5
prostitute,2,0.00025031289111389235,10
'kay?,2,0.00025031289111389235,5
spaced,2,0.00025031289111389235,6
wrong,2,0.00025031289111389235,5
who's,2,0.00025031289111389235,5
now,2,0.00025031289111389235,3
'Smokey,2,0.00025031289111389235,7
Robinson,2,0.00025031289111389235,8
yea,2,0.00025031289111389235,3
walk,2,0.00025031289111389235,4
She'd,2,0.00025031289111389235,5
streakin',2,0.00025031289111389235,9
critique,2,0.00025031289111389235,8
public,2,0.00025031289111389235,6
Invitin',2,0.00025031289111389235,8
anatomy',2,0.00025031289111389235,8
'Of,2,0.00025031289111389235,3
'Here,2,0.00025031289111389235,5
Ethel!,2,0.00025031289111389235,6
girl',2,0.00025031289111389235,5
Come,2,0.00025031289111389235,4
(Well,2,0.00025031289111389235,5
every,2,0.00025031289111389235,5
listening,2,0.00025031289111389235,9
(well,2,0.00025031289111389235,5
smoke,2,0.00025031289111389235,5
R&B',2,0.00025031289111389235,4
smoking,2,0.00025031289111389235,7
faster,2,0.00025031289111389235,6
Green,2,0.00025031289111389235,5
'Al,2,0.00025031289111389235,3
Duchess,2,0.00025031289111389235,7
We'll,2,0.00025031289111389235,5
streets',2,0.00025031289111389235,8
mohair,2,0.00025031289111389235,6
Benz?',2,0.00025031289111389235,6
boots,2,0.00025031289111389235,5
again,2,0.00025031289111389235,5
friends,2,0.00025031289111389235,7
fly,2,0.00025031289111389235,3
tough',2,0.00025031289111389235,6
notice,2,0.00025031289111389235,6
stuffed,2,0.00025031289111389235,7
time,2,0.00025031289111389235,4
represents,2,0.00025031289111389235,10
Deep,2,0.00025031289111389235,4
gold,2,0.00025031289111389235,4
never,2,0.00025031289111389235,5
waiting,2,0.00025031289111389235,7
change,2,0.00025031289111389235,6
jeans,2,0.00025031289111389235,5
'Now,2,0.00025031289111389235,4
she's,2,0.00025031289111389235,5
wearing,2,0.00025031289111389235,7
hooked,2,0.00025031289111389235,6
wrote,2,0.00025031289111389235,5
staring,2,0.00025031289111389235,7
picture',2,0.00025031289111389235,8
homeboys,2,0.00025031289111389235,8
warn,2,0.00025031289111389235,4
horny',2,0.00025031289111389235,6
Rump-o'-smooth-skin,2,0.00025031289111389235,19
sprung,2,0.00025031289111389235,6
face',2,0.00025031289111389235,5
forget,2,0.00025031289111389235,6
'Be,2,0.00025031289111389235,3
kids,2,0.00025031289111389235,4
gross.,2,0.00025031289111389235,6
'Look!',2,0.00025031289111389235,7
night',2,0.00025031289111389235,6
so...,2,0.00025031289111389235,5
'How,2,0.00025031289111389235,4
black!,2,0.00025031289111389235,6
not,2,0.00025031289111389235,3
lie',2,0.00025031289111389235,4
tonight,2,0.00025031289111389235,7
other,2,0.00025031289111389235,5
La-la-la-la,2,0.00025031289111389235,11
swear,2,0.00025031289111389235,5
walks,2,0.00025031289111389235,5
itty,2,0.00025031289111389235,4
nothing,2,0.00025031289111389235,7
could,2,0.00025031289111389235,5
laying,2,0.00025031289111389235,6
bitty,2,0.00025031289111389235,5
holding,2,0.00025031289111389235,7
waist',2,0.00025031289111389235,6
What,2,0.00025031289111389235,4
bring,2,0.00025031289111389235,5
will',2,0.00025031289111389235,5
help,2,0.00025031289111389235,4
ring,2,0.00025031289111389235,4
du',2,0.00025031289111389235,3
protection,2,0.00025031289111389235,10
long,2,0.00025031289111389235,4
rather,2,0.00025031289111389235,6
Mmmm,2,0.00025031289111389235,4
(baby,2,0.00025031289111389235,5
Never,2,0.00025031289111389235,5
worry,2,0.00025031289111389235,5
(what,2,0.00025031289111389235,5
do),2,0.00025031289111389235,3
quit,2,0.00025031289111389235,4
punks,2,0.00025031289111389235,5
(deserves,2,0.00025031289111389235,9
thangs),2,0.00025031289111389235,7
Fistful,2,0.00025031289111389235,7
(hand,2,0.00025031289111389235,5
full,2,0.00025031289111389235,4
rings),2,0.00025031289111389235,6
song,2,0.00025031289111389235,4
(I,2,0.00025031289111389235,2
simps,2,0.00025031289111389235,5
selection(selection)',2,0.00025031289111389235,21
strong,2,0.00025031289111389235,6
protection(protection)',2,0.00025031289111389235,23
'(Yeah)',2,0.00025031289111389235,8
'Everywhere,2,0.00025031289111389235,11
(Yeah!)',2,0.00025031289111389235,8
actin',2,0.00025031289111389235,6
stare',2,0.00025031289111389235,6
Cause,2,0.00025031289111389235,5
Mercedes,2,0.00025031289111389235,8
shows,2,0.00025031289111389235,5
roll,2,0.00025031289111389235,4
'Ladies!',2,0.00025031289111389235,9
'Good,2,0.00025031289111389235,5
me....',2,0.00025031289111389235,7
ladies!',2,0.00025031289111389235,8
(you,2,0.00025031289111389235,4
better)',2,0.00025031289111389235,8
friction,2,0.00025031289111389235,8
(baby)',2,0.00025031289111389235,7
whatever,2,0.00025031289111389235,8
hey!,2,0.00025031289111389235,4
are),2,0.00025031289111389235,4
lot,2,0.00025031289111389235,3
(oh)',2,0.00025031289111389235,5
A,2,0.00025031289111389235,1
'A,2,0.00025031289111389235,2
Jo,2,0.00025031289111389235,2
Flo,2,0.00025031289111389235,3
women,2,0.00025031289111389235,5
'(come,2,0.00025031289111389235,6
minute,2,0.00025031289111389235,6
something)',2,0.00025031289111389235,11
magazines',2,0.00025031289111389235,10
Wit,2,0.00025031289111389235,3
crown,2,0.00025031289111389235,5
head,2,0.00025031289111389235,4
cause,2,0.00025031289111389235,5
you's,2,0.00025031289111389235,5
ghetto,2,0.00025031289111389235,6
queen,2,0.00025031289111389235,5
bimbos',2,0.00025031289111389235,7
hoes,2,0.00025031289111389235,4
girl)',2,0.00025031289111389235,6
walkin',2,0.00025031289111389235,7
wil',2,0.00025031289111389235,4
word,2,0.00025031289111389235,4
style',2,0.00025031289111389235,6
cuss,2,0.00025031289111389235,4
sending,2,0.00025031289111389235,7
dawn',2,0.00025031289111389235,5
'Till,2,0.00025031289111389235,5
moan,2,0.00025031289111389235,4
mamas,2,0.00025031289111389235,5
straight,2,0.00025031289111389235,8
ya,2,0.00025031289111389235,2
now',2,0.00025031289111389235,4
proceed,2,0.00025031289111389235,7
lil,2,0.00025031289111389235,3
ya',2,0.00025031289111389235,3
sisters,2,0.00025031289111389235,7
'Bad,2,0.00025031289111389235,4
soul,2,0.00025031289111389235,4
b2k,2,0.00025031289111389235,3
o,2,0.00025031289111389235,1
em,2,0.00025031289111389235,2
player',2,0.00025031289111389235,7
worth,2,0.00025031289111389235,5
around!',2,0.00025031289111389235,8
shame,2,0.00025031289111389235,5
ninety-nine,2,0.00025031289111389235,11
sister,2,0.00025031289111389235,6
resist,2,0.00025031289111389235,6
Red,2,0.00025031289111389235,3
rice,2,0.00025031289111389235,4
knucklehead,2,0.00025031289111389235,11
diss',2,0.00025031289111389235,5
hun,2,0.00025031289111389235,3
buns,2,0.00025031289111389235,4
list,2,0.00025031289111389235,4
had,2,0.00025031289111389235,3
game,2,0.00025031289111389235,4
Unless,2,0.00025031289111389235,6
none,2,0.00025031289111389235,4
chose,2,0.00025031289111389235,5
anaconda,2,0.00025031289111389235,8
motor,2,0.00025031289111389235,5
triple,2,0.00025031289111389235,6
X,2,0.00025031289111389235,1
throw,2,0.00025031289111389235,5
Give,2,0.00025031289111389235,4
Thing!,2,0.00025031289111389235,6
magazines:',2,0.00025031289111389235,11
bends,2,0.00025031289111389235,5
hard,2,0.00025031289111389235,4
toss,2,0.00025031289111389235,4
leave,2,0.00025031289111389235,5
please,2,0.00025031289111389235,6
retrieve,2,0.00025031289111389235,8
says,2,0.00025031289111389235,4
sit-ups,2,0.00025031289111389235,7
fat,2,0.00025031289111389235,3
that!,2,0.00025031289111389235,5
dames,2,0.00025031289111389235,5
waist,2,0.00025031289111389235,5
small,2,0.00025031289111389235,5
curves,2,0.00025031289111389235,6
kickin',2,0.00025031289111389235,7
thinkin',2,0.00025031289111389235,8
stickin',2,0.00025031289111389235,8
'To,2,0.00025031289111389235,3
beanpole,2,0.00025031289111389235,8
'Dial,2,0.00025031289111389235,5
1-900-MIXALOT',2,0.00025031289111389235,14
nasty,2,0.00025031289111389235,5
'Listen',2,0.00025031289111389235,8
'36-24-36?',2,0.00025031289111389235,11
selection.,2,0.00025031289111389235,10
females,2,0.00025031289111389235,7
baby...,2,0.00025031289111389235,7
shout',2,0.00025031289111389235,6
boys,2,0.00025031289111389235,4
white,2,0.00025031289111389235,5
'Even,2,0.00025031289111389235,5
Your,2,0.00025031289111389235,4
'Ha,2,0.00025031289111389235,3
true,2,0.00025031289111389235,4
beauty's,2,0.00025031289111389235,8
description,2,0.00025031289111389235,11
out!',2,0.00025031289111389235,5
hurts,2,0.00025031289111389235,5
'Stick,2,0.00025031289111389235,6
dime,2,0.00025031289111389235,4
plus,2,0.00025031289111389235,4
lies,2,0.00025031289111389235,4
ha,2,0.00025031289111389235,2
thoughts',2,0.00025031289111389235,9
'3,2,0.00025031289111389235,2
'(Little,2,0.00025031289111389235,8
back)',2,0.00025031289111389235,6
tapes,2,0.00025031289111389235,5
workout,2,0.00025031289111389235,7
playin',2,0.00025031289111389235,7
rolls,2,0.00025031289111389235,5
.',2,0.00025031289111389235,2
'Mmmm,2,0.00025031289111389235,5
5,2,0.00025031289111389235,1
stories,2,0.00025031289111389235,7
Yeah',2,0.00025031289111389235,5
enjoy,2,0.00025031289111389235,5
being,2,0.00025031289111389235,5
